Data_Hora,Dificuldade,Rodada,Geracao,Fitness_Maximo_Global,Fitness_Medio_Pop
2026-09-01 16:30:05,2,3,21,587.7383,256.4820
2026-09-01 16:30:05,2,3,22,587.7383,243.7752
2026-09-01 16:31:30,1,5,1,570.8393,321.6408
2026-09-01 16:31:30,1,5,2,570.8393,397.5089
2026-09-01 16:31:30,1,5,3,570.8393,487.0765
2026-09-01 16:31:30,1,5,4,589.6891,492.6457
2026-09-01 16:31:30,1,5,5,619.6970,526.2073
2026-09-01 16:31:30,1,5,6,619.6970,535.6294
2026-09-01 16:31:30,1,5,7,619.6970,517.6791
2026-09-01 16:31:30,1,5,8,619.6970,496.9941
2026-09-01 16:31:30,1,5,9,619.6970,515.0633
2026-09-01 16:31:30,1,5,10,624.6259,556.8898
2026-09-01 16:31:30,1,5,11,635.8996,574.8354
2026-09-01 16:31:30,1,5,12,662.8646,566.8385
2026-09-01 16:31:30,1,5,13,662.8646,558.6956
2026-09-01 16:31:30,1,5,14,662.8646,557.3673
2026-09-01 16:31:30,1,5,15,662.8646,593.8365
2026-09-01 16:31:30,1,5,16,662.8646,580.1533
2026-09-01 16:31:30,1,5,17,662.8646,540.3968
2026-09-01 16:31:30,1,5,18,663.7753,581.9710
2026-09-01 16:31:30,1,5,19,663.7753,518.9359
2026-09-01 16:31:30,1,5,20,687.3793,547.1054
2026-09-01 16:31:30,1,5,21,704.5826,544.6537
2026-09-01 16:31:30,1,5,22,704.5826,604.5564
2026-09-01 16:31:30,1,5,23,723.6426,559.2410
2026-09-01 16:31:30,1,5,24,731.6060,585.8768
2026-09-01 16:31:30,1,5,25,747.5370,550.0255
2026-09-01 16:31:30,1,5,26,747.5370,610.1637
2026-09-01 16:31:30,1,5,27,747.5370,562.9128
2026-09-01 16:31:30,1,5,28,751.9872,530.5066
2026-09-01 16:31:30,1,5,29,751.9872,528.5711
2026-09-01 16:31:30,1,5,30,751.9872,517.9889
2026-09-01 16:32:24,3,3,1,255.0860,38.2237
2026-09-01 16:32:24,3,3,2,381.7144,70.5899
2026-09-01 16:32:24,3,3,3,402.7872,97.8643
2026-09-01 16:32:24,3,3,4,508.8315,96.4605
2026-09-01 16:32:24,3,3,5,508.8315,108.6980
2026-09-01 16:32:24,3,3,6,508.8315,108.3147
2026-09-01 16:32:24,3,3,7,508.8315,106.3143
2026-09-01 16:32:24,3,3,8,508.8315,108.8895
2026-09-01 16:32:24,3,3,9,508.8315,108.3007
2026-09-01 16:32:24,3,3,10,508.8315,111.4095
2026-09-01 16:32:24,3,3,11,508.8315,104.1799
2026-09-01 16:32:24,3,3,12,508.8315,103.2488
2026-09-01 16:32:24,3,3,13,508.8315,102.5807
2026-09-01 16:32:24,3,3,14,508.8315,118.5780
2026-09-01 16:32:24,3,3,15,508.8315,110.5512
2026-09-01 16:32:24,3,3,16,508.8315,108.7452
2026-09-01 16:32:24,3,3,17,508.8315,121.7360
2026-09-01 16:32:24,3,3,18,508.8315,121.6339
2026-09-01 16:32:24,3,3,19,508.8315,116.2821
2026-09-01 16:32:36,2,4,1,526.3178,207.9526
2026-09-01 16:32:36,2,4,2,526.3178,213.2317
2026-09-01 16:32:36,2,4,3,526.3178,275.3466
2026-09-01 16:32:36,2,4,4,592.8580,228.1701
2026-09-01 16:32:36,2,4,5,592.8580,251.5110
2026-09-01 16:32:36,2,4,6,592.8580,238.6096
2026-09-01 16:32:36,2,4,7,592.8580,260.9703
2026-09-01 16:32:36,2,4,8,592.8580,239.8407
2026-09-01 16:32:36,2,4,9,592.8580,255.7751
2026-09-01 16:32:36,2,4,10,592.8580,243.1232
2026-09-01 16:32:36,2,4,11,592.8580,262.8757
2026-09-01 16:32:36,2,4,12,592.8580,268.9896
2026-09-01 16:32:36,2,4,13,592.8580,235.7180
2026-09-01 16:32:36,2,4,14,592.8580,264.5151
2026-09-01 16:32:36,2,4,15,592.8580,288.1702
2026-09-01 16:32:36,2,4,16,592.8580,251.4424
2026-09-01 16:32:36,2,4,17,592.8580,239.9597
2026-09-01 16:32:53,1,6,1,587.9544,387.0775
2026-09-01 16:32:53,1,6,2,595.0135,445.8707
2026-09-01 16:32:53,1,6,3,595.0135,388.0606
2026-09-01 16:32:53,1,6,4,688.4565,533.2014
2026-09-01 16:32:53,1,6,5,705.4704,492.6299
2026-09-01 16:32:53,1,6,6,705.4704,572.7673
2026-09-01 16:32:53,1,6,7,725.0632,584.9052
2026-09-01 16:32:53,1,6,8,733.6604,554.2202
2026-09-01 16:32:53,1,6,9,733.6604,542.7276
2026-09-01 16:32:53,1,6,10,733.6604,520.8637
2026-09-01 16:32:53,1,6,11,733.6604,574.4740
2026-09-01 16:32:53,1,6,12,733.6604,547.5592
2026-09-01 16:32:53,1,6,13,733.6604,577.2024
2026-09-01 16:32:53,1,6,14,734.4249,542.9991
2026-09-01 16:32:53,1,6,15,734.4249,547.7935
2026-09-01 16:32:53,1,6,16,734.4249,528.3361
2026-09-01 16:32:53,1,6,17,734.4249,562.4206
2026-09-01 16:32:53,1,6,18,734.4249,563.5324
2026-09-01 16:32:53,1,6,19,734.4249,566.8690
2026-09-01 16:32:53,1,6,20,734.4249,575.2203
2026-09-01 16:34:56,1,7,1,540.2177,336.3259
2026-09-01 16:34:56,1,7,2,540.2177,406.1279
2026-09-01 16:34:56,1,7,3,574.9021,447.9382
2026-09-01 16:34:56,1,7,4,607.9339,509.4006
2026-09-01 16:34:56,1,7,5,607.9339,513.7848
2026-09-01 16:34:56,1,7,6,613.4528,510.3794
2026-09-01 16:34:56,1,7,7,613.4528,492.5093
2026-09-01 16:34:56,1,7,8,613.4528,507.0139
2026-09-01 16:34:56,1,7,9,622.9736,571.9093
2026-09-01 16:34:56,1,7,10,636.4178,547.1393
2026-09-01 16:34:56,1,7,11,636.4178,553.1467
2026-09-01 16:34:56,1,7,12,653.0704,586.3099
2026-09-01 16:34:56,1,7,13,658.8487,583.9911
2026-09-01 16:34:56,1,7,14,720.4209,590.6186
2026-09-01 16:34:56,1,7,15,723.5880,563.9982
2026-09-01 16:34:56,1,7,16,723.5880,584.1209
2026-09-01 16:34:56,1,7,17,723.5880,609.2628
2026-09-01 16:34:56,1,7,18,723.5880,607.2308
2026-09-01 16:34:56,1,7,19,723.5880,578.9117
2026-09-01 16:34:56,1,7,20,723.5880,627.7596
2026-09-01 16:34:56,1,7,21,723.5880,590.8843
2026-09-01 16:34:56,1,7,22,723.5880,594.0251
2026-09-01 16:34:56,1,7,23,723.5880,631.3250
2026-09-01 16:34:56,1,7,24,723.5880,551.2815
2026-09-01 16:34:56,1,7,25,723.5880,494.7633
2026-09-01 16:34:56,1,7,26,751.6898,481.3103
2026-09-01 16:34:56,1,7,27,751.6898,534.4553
2026-09-01 16:34:56,1,7,28,751.6898,557.8421
2026-09-01 16:34:56,1,7,29,751.6898,525.2261
2026-09-01 16:35:27,2,5,1,465.2263,167.3804
2026-09-01 16:35:27,2,5,2,465.2263,204.9170
2026-09-01 16:35:27,2,5,3,503.4561,225.2263
2026-09-01 16:35:27,2,5,4,503.4561,223.0786
2026-09-01 16:35:27,2,5,5,558.7700,234.7248
2026-09-01 16:35:27,2,5,6,558.7700,224.4155
2026-09-01 16:35:27,2,5,7,558.7700,230.9208
2026-09-01 16:35:27,2,5,8,558.7700,222.5675
2026-09-01 16:35:27,2,5,9,558.7700,262.4268
2026-09-01 16:35:27,2,5,10,558.7700,239.4007
2026-09-01 16:35:27,2,5,11,558.7700,246.6205
